sparsity,length,time_create_append,time_get_at_rank,time_get_at_index,time_num_elem_at,space,saving
0.010000,395000,0.182370,0.000040,0.000049,0.000130,325008,12514528
0.010000,400000,0.171190,0.000043,0.000048,0.000125,330352,12671808
0.010000,405000,0.164481,0.000040,0.000050,0.000126,331984,12832800
0.010000,410000,0.172172,0.000030,0.000050,0.000129,338640,12988768
0.010000,415000,0.195421,0.000058,0.000087,0.000161,343856,13146176
0.010000,420000,0.172602,0.000039,0.000050,0.000125,342352,13310304
0.010000,425000,0.185480,0.000033,0.000051,0.000126,352784,13462496
0.010000,430000,0.204402,0.000030,0.000048,0.000124,352624,13625280
0.010000,435000,0.187361,0.000029,0.000050,0.000124,360656,13779872
0.010000,440000,0.203355,0.000031,0.000050,0.000125,365040,13938112
0.010000,445000,0.196150,0.000030,0.000050,0.000126,368912,14096928
0.010000,450000,0.194128,0.000031,0.000047,0.000125,371120,14257344
0.010000,455000,0.201867,0.000031,0.000053,0.000126,375408,14415680
0.010000,460000,0.210236,0.000030,0.000051,0.000125,384016,14569696
0.010000,465000,0.208230,0.000030,0.000050,0.000125,384528,14731808
0.010000,470000,0.213819,0.000037,0.000059,0.000126,387728,14891232
0.010000,475000,0.227423,0.000043,0.000051,0.000127,396080,15045504
0.010000,480000,0.230002,0.000034,0.000052,0.000125,402000,15202208
0.010000,485000,0.227476,0.000030,0.000051,0.000125,402320,15364576
0.010000,490000,0.229962,0.000045,0.000053,0.000126,405296,15524224
0.010000,495000,0.238738,0.000042,0.000050,0.000127,410864,15681280
0.010000,500000,0.245413,0.000032,0.000051,0.000126,414224,15840544
0.010000,505000,0.245779,0.000031,0.000051,0.000126,420368,15997024
0.010000,510000,0.259600,0.000046,0.000052,0.000127,421872,16158144
0.010000,515000,0.261895,0.000042,0.000052,0.000126,430384,16312256
0.010000,520000,0.267062,0.000031,0.000050,0.000126,436848,16468416
0.010000,525000,0.239700,0.000031,0.000051,0.000125,422544,16631584
0.010000,530000,0.244193,0.000046,0.000054,0.000126,426896,16789728
0.010000,535000,0.271240,0.000032,0.000050,0.000123,431440,16947680
0.010000,540000,0.247058,0.000042,0.000052,0.000123,432432,17109120
0.010000,545000,0.248043,0.000036,0.000054,0.000125,435728,17268384
0.010000,550000,0.290666,0.000043,0.000052,0.000125,441712,17424896
0.010000,555000,0.259516,0.000031,0.000051,0.000124,445200,17583904
0.010000,560000,0.268333,0.000052,0.000052,0.000127,453040,17738560
0.010000,565000,0.269023,0.000031,0.000051,0.000124,454640,17899456
0.010000,570000,0.272952,0.000030,0.000051,0.000131,457936,18058656
0.010000,575000,0.279611,0.000044,0.000054,0.000126,460560,18218528
0.010000,580000,0.284316,0.000042,0.000051,0.000124,466960,18374688
0.010000,585000,0.287054,0.000044,0.000052,0.000124,469904,18534240
0.010000,590000,0.297555,0.000043,0.000052,0.000123,476240,18690336
0.010000,595000,0.298195,0.000044,0.000055,0.000124,481808,18847328
0.010000,600000,0.296421,0.000045,0.000055,0.000125,480816,19010752
0.010000,605000,0.303882,0.000046,0.000055,0.000126,483536,19170528
0.010000,610000,0.314941,0.000044,0.000053,0.000126,491120,19325504
0.010000,615000,0.322680,0.000138,0.000087,0.000165,496496,19482624
0.010000,620000,0.320190,0.000047,0.000053,0.000127,497168,19644448
0.010000,625000,0.322342,0.000042,0.000055,0.000125,499504,19804608
0.010000,630000,0.329453,0.000045,0.000055,0.000127,506256,19960352
0.010000,635000,0.328611,0.000044,0.000053,0.000125,511728,20117376
0.010000,640000,0.346986,0.000046,0.000065,0.000127,519792,20271872
0.010000,645000,0.351476,0.000046,0.000056,0.000124,521936,20432224
0.010000,650000,0.352641,0.000044,0.000051,0.000126,525200,20591392
0.010000,655000,0.365651,0.000049,0.000058,0.000127,531504,20747584
0.010000,660000,0.363271,0.000046,0.000057,0.000128,532400,20909184
